league_key,league_name,club_id,club_name,role_key,role_name,season,season_start_year,season_end_year,transfermarkt_manager_id,manager_id,manager_name,manager_date_of_birth,nationalities,spell_start_date,spell_end_date,time_in_post_text,time_in_post_days,matches,wins,draws,losses,ppg,overlap_start_date,overlap_end_date,days_in_charge_in_season,days_in_season,share_of_season,source_name,source_endpoint,collected_at_utc,confidence_level,notes
premier_league,Premier League,arsenal,Arsenal,manager,Manager,2013/14,2013,2014,280,ars_ne_wenger_22-10-1949,Arsène Wenger,22/10/1949,France,1996-10-01,2018-06-30,21 years 08 months 30 days,7943,1231.0,713,267,251,1.95,2013-07-01,2014-06-30,365,365,1.0,transfermarkt_manager_history_page,https://www.transfermarkt.com/arsenal/mitarbeiterhistorie/verein/11/personalie_id/1/plus/1,2026-04-27T18:42:52.621832+00:00,high,
premier_league,Premier League,arsenal,Arsenal,manager,Manager,2014/15,2014,2015,280,ars_ne_wenger_22-10-1949,Arsène Wenger,22/10/1949,France,1996-10-01,2018-06-30,21 years 08 months 30 days,7943,1231.0,713,267,251,1.95,2014-07-01,2015-06-30,365,365,1.0,transfermarkt_manager_history_page,https://www.transfermarkt.com/arsenal/mitarbeiterhistorie/verein/11/personalie_id/1/plus/1,2026-04-27T18:42:52.621832+00:00,high,
premier_league,Premier League,arsenal,Arsenal,manager,Manager,2015/16,2015,2016,280,ars_ne_wenger_22-10-1949,Arsène Wenger,22/10/1949,France,1996-10-01,2018-06-30,21 years 08 months 30 days,7943,1231.0,713,267,251,1.95,2015-07-01,2016-06-30,366,366,1.0,transfermarkt_manager_history_page,https://www.transfermarkt.com/arsenal/mitarbeiterhistorie/verein/11/personalie_id/1/plus/1,2026-04-27T18:42:52.621832+00:00,high,
premier_league,Premier League,arsenal,Arsenal,manager,Manager,2016/17,2016,2017,280,ars_ne_wenger_22-10-1949,Arsène Wenger,22/10/1949,France,1996-10-01,2018-06-30,21 years 08 months 30 days,7943,1231.0,713,267,251,1.95,2016-07-01,2017-06-30,365,365,1.0,transfermarkt_manager_history_page,https://www.transfermarkt.com/arsenal/mitarbeiterhistorie/verein/11/personalie_id/1/plus/1,2026-04-27T18:42:52.621832+00:00,high,
premier_league,Premier League,arsenal,Arsenal,manager,Manager,2017/18,2017,2018,280,ars_ne_wenger_22-10-1949,Arsène Wenger,22/10/1949,France,1996-10-01,2018-06-30,21 years 08 months 30 days,7943,1231.0,713,267,251,1.95,2017-07-01,2018-06-30,365,365,1.0,transfermarkt_manager_history_page,https://www.transfermarkt.com/arsenal/mitarbeiterhistorie/verein/11/personalie_id/1/plus/1,2026-04-27T18:42:52.621832+00:00,high,
premier_league,Premier League,arsenal,Arsenal,manager,Manager,2018/19,2018,2019,5075,unai_emery_03-11-1971,Unai Emery,03/11/1971,Spain,2018-07-01,2019-11-29,01 year 04 months 29 days,517,78.0,43,15,20,1.85,2018-07-01,2019-06-30,365,365,1.0,transfermarkt_manager_history_page,https://www.transfermarkt.com/arsenal/mitarbeiterhistorie/verein/11/personalie_id/1/plus/1,2026-04-27T18:42:52.621832+00:00,high,
premier_league,Premier League,arsenal,Arsenal,manager,Manager,2019/20,2019,2020,5075,unai_emery_03-11-1971,Unai Emery,03/11/1971,Spain,2018-07-01,2019-11-29,01 year 04 months 29 days,517,78.0,43,15,20,1.85,2019-07-01,2019-11-29,152,366,0.41530054644808745,transfermarkt_manager_history_page,https://www.transfermarkt.com/arsenal/mitarbeiterhistorie/verein/11/personalie_id/1/plus/1,2026-04-27T18:42:52.621832+00:00,high,
premier_league,Premier League,arsenal,Arsenal,manager,Manager,2019/20,2019,2020,47620,mikel_arteta_26-03-1982,Mikel Arteta,26/03/1982,Spain,2019-12-22,,06 years 04 months 05 days,2319,345.0,212,59,74,2.01,2019-12-22,2020-06-30,192,366,0.5245901639344263,transfermarkt_manager_history_page,https://www.transfermarkt.com/arsenal/mitarbeiterhistorie/verein/11/personalie_id/1/plus/1,2026-04-27T18:42:52.621832+00:00,high,Manager spell appears ongoing on the collection date. Ongoing manager spell; overlap calculated through the collection date or season end.
premier_league,Premier League,arsenal,Arsenal,manager,Manager,2020/21,2020,2021,47620,mikel_arteta_26-03-1982,Mikel Arteta,26/03/1982,Spain,2019-12-22,,06 years 04 months 05 days,2319,345.0,212,59,74,2.01,2020-07-01,2021-06-30,365,365,1.0,transfermarkt_manager_history_page,https://www.transfermarkt.com/arsenal/mitarbeiterhistorie/verein/11/personalie_id/1/plus/1,2026-04-27T18:42:52.621832+00:00,high,Manager spell appears ongoing on the collection date. Ongoing manager spell; overlap calculated through the collection date or season end.
premier_league,Premier League,arsenal,Arsenal,manager,Manager,2021/22,2021,2022,47620,mikel_arteta_26-03-1982,Mikel Arteta,26/03/1982,Spain,2019-12-22,,06 years 04 months 05 days,2319,345.0,212,59,74,2.01,2021-07-01,2022-06-30,365,365,1.0,transfermarkt_manager_history_page,https://www.transfermarkt.com/arsenal/mitarbeiterhistorie/verein/11/personalie_id/1/plus/1,2026-04-27T18:42:52.621832+00:00,high,Manager spell appears ongoing on the collection date. Ongoing manager spell; overlap calculated through the collection date or season end.
premier_league,Premier League,arsenal,Arsenal,manager,Manager,2022/23,2022,2023,47620,mikel_arteta_26-03-1982,Mikel Arteta,26/03/1982,Spain,2019-12-22,,06 years 04 months 05 days,2319,345.0,212,59,74,2.01,2022-07-01,2023-06-30,365,365,1.0,transfermarkt_manager_history_page,https://www.transfermarkt.com/arsenal/mitarbeiterhistorie/verein/11/personalie_id/1/plus/1,2026-04-27T18:42:52.621832+00:00,high,Manager spell appears ongoing on the collection date. Ongoing manager spell; overlap calculated through the collection date or season end.
